Iteration	Trial	Iterations	Success
1929	551	2	True
1931	552	2	True
1934	553	3	True
1939	554	5	True
1942	555	3	True
1945	556	3	True
1951	557	6	True
1953	558	2	True
1959	559	6	True
1961	560	2	True
1963	561	2	True
1973	562	10	False
1977	563	4	True
1979	564	2	True
1982	565	3	True
1987	566	5	True
1992	567	5	True
1994	568	2	True
2000	569	6	True
